iso2_orig,FI,NO,GR,PT,BO,CA,DK,BG,ML,LV,GN,HU,SK,IS,LI,EE,LU,EG,LY,ZA,MR,KZ,IN,LK,BH,CY,IQ,KW,QA,PS,TR,BY,LT,IT,MT,AU,NZ,SI,NA,TJ,TM,CN,JP,IR,PK,AZ,IL,SA,AE,RU,UA,SE,AT,BE,FR,DE,NL,CH,CR,MX,NI,BR,CO,EC,US,MY,SY,ID,GE,GB,BS,BB,DM,DO,GD,JM,KN,LC,VC,CL,GY,RO,HR,ME,MK,SM,RS,CU,VE,KG,UZ,PL,MD,AR,CZ,ER,MZ,TZ,ZM,CG,CD,GA,ST,BW,SZ,CV,CM,AD,ES,HT,PR,SV,GT,HN,PA,FK,PY,PE,UY,CF,MN,MV,BA,SC,UG,GH,HK,TW,KP,BT,BN,KH,LA,PH,SG,TL,IE,AG,FJ,PG,SB,VU,KI,NR,WS,AM,TT,MU,NP,MM,LB,OM,JO,BI,MA,TG,GF,BJ,CI,LR,NE,SL,BD,KE,MW,RW,ET,BF,NG,SN,SR,ZW,LS,GW,AL,BZ,AO,TD,SD,SS,TN,GQ,MG,MO,KR,TH,VN,MH,PW,TO,DZ,EH,YE,SO,DJ,TV,KM,MC,GM,FM,AF
SZ,0.0,0.4269230769230769,0.47307692307692306,0.3038461538461538,0.29615384615384616,0.2923076923076923,0.4269230769230769,0.19615384615384615,0.0,0.0,0.0,0.19615384615384615,0.19615384615384615,0.4269230769230769,0.41923076923076924,0.0,0.3038461538461538,0.07692307692307693,0.3192307692307692,1.0,0.0,0.0,0.19230769230769232,0.07692307692307693,0.07692307692307693,0.5576923076923077,0.45384615384615384,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.19615384615384615,0.0,0.0,0.3192307692307692,0.9846153846153847,0.9884615384615385,0.9846153846153847,0.15384615384615385,0.0,0.0,0.0,0.2923076923076923,0.2923076923076923,0.45384615384615384,0.07692307692307693,0.0,0.45,0.07692307692307693,0.07692307692307693,0.0,0.0,0.4269230769230769,0.19615384615384615,0.3038461538461538,0.4076923076923077,0.4576923076923077,1.0,0.3192307692307692,0.0,0.0,0.0,0.29615384615384616,0.29615384615384616,0.29615384615384616,0.7230769230769231,0.8769230769230769,0.07692307692307693,0.8769230769230769,0.0,1.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.43846153846153846,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.29615384615384616,0.1576923076923077,0.19615384615384615,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.3192307692307692,0.15384615384615385,0.3038461538461538,0.29615384615384616,0.0,0.0,0.47307692307692306,0.0,0.29615384615384616,0.19615384615384615,0.07692307692307693,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0038461538461538464,0.04230769230769231,0.0,1.0,0.04230769230769231,0.0038461538461538464,0.3038461538461538,0.3038461538461538,0.27692307692307694,0.2230769230769231,0.0,0.0,0.0,0.2230769230769231,0.9884615384615385,0.29615384615384616,0.2923076923076923,0.3038461538461538,0.0,0.0,0.9884615384615385,0.15384615384615385,0.3192307692307692,0.0,0.0,0.2923076923076923,0.2923076923076923,0.0,0.007692307692307693,0.2923076923076923,0.29615384615384616,0.2923076923076923,0.2923076923076923,0.8769230769230769,0.8769230769230769,0.9884615384615385,0.15384615384615385,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.9884615384615385,0.0,0.1576923076923077,0.3192307692307692,0.007692307692307693,0.07692307692307693,0.4307692307692308,0.07692307692307693,0.07692307692307693,0.0,0.3038461538461538,0.0,0.4076923076923077,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.7230769230769231,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.15384615384615385,0.0,0.04230769230769231,0.0,0.07692307692307693,0.07692307692307693,0.3192307692307692,0.0038461538461538464,0.0,0.2923076923076923,0.2923076923076923,0.2923076923076923,0.29615384615384616,0.0,0.0,0.9846153846153847,0.3192307692307692,0.3192307692307692,0.07692307692307693,0.05384615384615385,0.05384615384615385,0.019230769230769232,0.0,0.3192307692307692,0.0,0.0,0.45384615384615384
CV,0.0,0.04230769230769231,0.046153846153846156,0.07692307692307693,0.04230769230769231,0.038461538461538464,0.04230769230769231,0.0038461538461538464,0.07692307692307693,0.0,0.07692307692307693,0.0038461538461538464,0.0038461538461538464,0.04230769230769231,0.04230769230769231,0.0,0.07692307692307693,0.0,0.06153846153846154,0.04230769230769231,0.07692307692307693,0.0,0.026923076923076925,0.0,0.0,0.04230769230769231,0.046153846153846156,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0,0.04230769230769231,0.04230769230769231,0.04230769230769231,0.04230769230769231,0.0,0.38076923076923075,0.0,0.0,0.03461538461538462,0.03461538461538462,0.046153846153846156,0.0,0.0,0.046153846153846156,0.0,0.0,0.0,0.0,0.04230769230769231,0.0038461538461538464,0.07692307692307693,0.05,0.046153846153846156,0.04230769230769231,0.06153846153846154,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.04230769230769231,0.038461538461538464,0.0,0.038461538461538464,0.0,0.04230769230769231,0.0,0.0,0.0,0.007692307692307693,0.0,0.038461538461538464,0.0,0.0,0.0,0.04230769230769231,0.0,0.0038461538461538464,0.0,0.0,0.0,0.04230769230769231,0.0,0.07692307692307693,0.038461538461538464,0.0,0.0,0.046153846153846156,0.0,0.038461538461538464,0.0038461538461538464,0.0,0.38076923076923075,0.16153846153846155,0.38076923076923075,0.09615384615384616,0.16153846153846155,0.09615384615384616,1.0,0.38076923076923075,0.04230769230769231,1.0,0.09615384615384616,0.07692307692307693,0.07692307692307693,0.03076923076923077,0.007692307692307693,0.0,0.0,0.0,0.007692307692307693,0.04230769230769231,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.0,0.04230769230769231,0.0,0.04230769230769231,0.16153846153846155,0.07692307692307693,0.03461538461538462,0.03461538461538462,0.0,0.0,0.03461538461538462,0.038461538461538464,0.038461538461538464,0.03461538461538462,0.038461538461538464,0.038461538461538464,0.04230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04230769230769231,0.0,0.0,0.04230769230769231,0.0,0.0,0.046153846153846156,0.0,0.0,0.16153846153846155,0.07692307692307693,0.07692307692307693,0.05,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.04230769230769231,0.38076923076923075,0.16153846153846155,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.04230769230769231,0.38076923076923075,0.04230769230769231,0.07692307692307693,0.0,0.0,1.0,0.07692307692307693,0.0,0.0,0.04230769230769231,0.09615384615384616,0.0,0.03461538461538462,0.03461538461538462,0.03461538461538462,0.038461538461538464,0.0,0.0,0.04230769230769231,0.06153846153846154,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.04230769230769231,0.07692307692307693,0.0,0.046153846153846156
CM,0.0,0.0038461538461538464,0.0038461538461538464,0.03461538461538462,0.015384615384615385,0.0038461538461538464,0.0038461538461538464,0.0,0.5807692307692308,0.0,0.7153846153846154,0.0,0.0,0.0038461538461538464,0.0038461538461538464,0.0,0.046153846153846156,0.0,0.023076923076923078,0.0038461538461538464,0.5807692307692308,0.0,0.0,0.0,0.0,0.0038461538461538464,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.026923076923076925,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0,0.07692307692307693,0.0,0.0,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0,0.0,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0038461538461538464,0.0,0.046153846153846156,0.011538461538461539,0.0038461538461538464,0.0038461538461538464,0.023076923076923078,0.0,0.0,0.0,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0,0.0038461538461538464,0.0,0.0038461538461538464,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0038461538461538464,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.026923076923076925,0.0,0.03461538461538462,0.0038461538461538464,0.0,0.0,0.0038461538461538464,0.0,0.0038461538461538464,0.0,0.0,0.07692307692307693,0.55,0.07692307692307693,1.0,0.55,1.0,0.09615384615384616,0.07692307692307693,0.0038461538461538464,0.09615384615384616,1.0,0.03461538461538462,0.03461538461538462,0.0038461538461538464,0.0038461538461538464,0.0,0.0,0.0,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.03461538461538462,0.5961538461538461,0.0,0.0038461538461538464,0.0,0.026923076923076925,0.55,0.5807692307692308,0.0038461538461538464,0.0038461538461538464,0.0,0.0,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0,0.026923076923076925,0.0,0.0,0.0038461538461538464,0.0,0.0,0.55,0.046153846153846156,0.5807692307692308,0.011538461538461539,0.5807692307692308,0.5807692307692308,0.7153846153846154,0.5807692307692308,0.7153846153846154,0.0,0.0038461538461538464,0.07692307692307693,0.55,0.0,0.5807692307692308,0.5807692307692308,0.7153846153846154,0.0038461538461538464,0.07692307692307693,0.0038461538461538464,0.7153846153846154,0.0,0.0,0.09615384615384616,0.5961538461538461,0.0,0.0,0.026923076923076925,1.0,0.0,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0,0.0,0.0038461538461538464,0.023076923076923078,0.023076923076923078,0.0,0.0,0.0,0.0,0.0,0.026923076923076925,0.7153846153846154,0.0,0.0038461538461538464
AD,0.0,0.3346153846153846,0.33076923076923076,1.0,0.5153846153846153,0.3,0.3346153846153846,0.18846153846153846,0.0,0.0,0.0,0.18846153846153846,0.18846153846153846,0.3346153846153846,0.3423076923076923,0.0,0.9884615384615385,0.07692307692307693,0.9730769230769231,0.3038461538461538,0.0,0.0,0.17307692307692307,0.07692307692307693,0.07692307692307693,0.3192307692307692,0.3230769230769231,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.18846153846153846,0.0,0.0,0.49615384615384617,0.3,0.3038461538461538,0.3,0.15384615384615385,0.0,0.0,0.0,0.2846153846153846,0.2846153846153846,0.3230769230769231,0.07692307692307693,0.0,0.33076923076923076,0.07692307692307693,0.07692307692307693,0.0,0.0,0.3346153846153846,0.18846153846153846,0.9884615384615385,0.4423076923076923,0.3269230769230769,0.3038461538461538,0.9730769230769231,0.0,0.0,0.0,0.4115384615384615,0.36923076923076925,0.36923076923076925,0.3038461538461538,0.28846153846153844,0.07692307692307693,0.28846153846153844,0.0,0.3038461538461538,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.27307692307692305,0.15384615384615385,0.28846153846153844,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.5153846153846153,0.1576923076923077,0.18846153846153846,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.49615384615384617,0.15384615384615385,1.0,0.36153846153846153,0.0,0.0,0.33076923076923076,0.0,0.4115384615384615,0.18846153846153846,0.07692307692307693,0.0,0.019230769230769232,0.0,0.03461538461538462,0.019230769230769232,0.03461538461538462,0.07692307692307693,0.0,0.3038461538461538,0.07692307692307693,0.03461538461538462,1.0,1.0,0.3269230769230769,0.2653846153846154,0.0,0.0,0.0,0.2653846153846154,0.3038461538461538,0.4115384615384615,0.4,1.0,0.0,0.0,0.3038461538461538,0.15384615384615385,0.49615384615384617,0.019230769230769232,0.0,0.2846153846153846,0.2846153846153846,0.0,0.007692307692307693,0.2846153846153846,0.3,0.3,0.2846153846153846,0.28846153846153844,0.28846153846153844,0.3038461538461538,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.3038461538461538,0.0,0.1576923076923077,0.49615384615384617,0.007692307692307693,0.07692307692307693,0.33076923076923076,0.07692307692307693,0.07692307692307693,0.019230769230769232,0.9884615384615385,0.0,0.4423076923076923,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.3038461538461538,0.0,0.019230769230769232,0.07692307692307693,0.0,0.0,0.0,0.3038461538461538,0.0,0.3038461538461538,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.49615384615384617,0.03461538461538462,0.0,0.2846153846153846,0.2846153846153846,0.2846153846153846,0.3,0.0,0.0,0.3,0.9730769230769231,0.9730769230769231,0.07692307692307693,0.05384615384615385,0.05384615384615385,0.0,0.0,0.49615384615384617,0.0,0.0,0.3230769230769231
ES,0.0,0.3346153846153846,0.33076923076923076,1.0,0.5153846153846153,0.3,0.3346153846153846,0.18846153846153846,0.0,0.0,0.0,0.18846153846153846,0.18846153846153846,0.3346153846153846,0.3423076923076923,0.0,0.9884615384615385,0.07692307692307693,0.9730769230769231,0.3038461538461538,0.0,0.0,0.17307692307692307,0.07692307692307693,0.07692307692307693,0.3192307692307692,0.3230769230769231,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.18846153846153846,0.0,0.0,0.49615384615384617,0.3,0.3038461538461538,0.3,0.15384615384615385,0.0,0.0,0.0,0.2846153846153846,0.2846153846153846,0.3230769230769231,0.07692307692307693,0.0,0.33076923076923076,0.07692307692307693,0.07692307692307693,0.0,0.0,0.3346153846153846,0.18846153846153846,0.9884615384615385,0.4423076923076923,0.3269230769230769,0.3038461538461538,0.9730769230769231,0.0,0.0,0.0,0.4115384615384615,0.36923076923076925,0.36923076923076925,0.3038461538461538,0.28846153846153844,0.07692307692307693,0.28846153846153844,0.0,0.3038461538461538,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.27307692307692305,0.15384615384615385,0.28846153846153844,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.5153846153846153,0.1576923076923077,0.18846153846153846,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.49615384615384617,0.15384615384615385,1.0,0.36153846153846153,0.0,0.0,0.33076923076923076,0.0,0.4115384615384615,0.18846153846153846,0.07692307692307693,0.0,0.019230769230769232,0.0,0.03461538461538462,0.019230769230769232,0.03461538461538462,0.07692307692307693,0.0,0.3038461538461538,0.07692307692307693,0.03461538461538462,1.0,1.0,0.3269230769230769,0.2653846153846154,0.0,0.0,0.0,0.2653846153846154,0.3038461538461538,0.4115384615384615,0.4,1.0,0.0,0.0,0.3038461538461538,0.15384615384615385,0.49615384615384617,0.019230769230769232,0.0,0.2846153846153846,0.2846153846153846,0.0,0.007692307692307693,0.2846153846153846,0.3,0.3,0.2846153846153846,0.28846153846153844,0.28846153846153844,0.3038461538461538,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.3038461538461538,0.0,0.1576923076923077,0.49615384615384617,0.007692307692307693,0.07692307692307693,0.33076923076923076,0.07692307692307693,0.07692307692307693,0.019230769230769232,0.9884615384615385,0.0,0.4423076923076923,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.3038461538461538,0.0,0.019230769230769232,0.07692307692307693,0.0,0.0,0.0,0.3038461538461538,0.0,0.3038461538461538,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.49615384615384617,0.03461538461538462,0.0,0.2846153846153846,0.2846153846153846,0.2846153846153846,0.3,0.0,0.0,0.3,0.9730769230769231,0.9730769230769231,0.07692307692307693,0.05384615384615385,0.05384615384615385,0.0,0.0,0.49615384615384617,0.0,0.0,0.3230769230769231
HT,0.0,0.28076923076923077,0.2923076923076923,0.3269230769230769,0.4153846153846154,0.43846153846153846,0.28076923076923077,0.17692307692307693,0.0,0.0,0.0,0.17692307692307693,0.17692307692307693,0.28076923076923077,0.27692307692307694,0.0,0.3269230769230769,0.07692307692307693,0.3269230769230769,0.27692307692307694,0.0,0.0,0.16923076923076924,0.07692307692307693,0.07692307692307693,0.28076923076923077,0.2923076923076923,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.17692307692307693,0.0,0.0,0.4076923076923077,0.28076923076923077,0.27692307692307694,0.27307692307692305,0.15384615384615385,0.0,0.0,0.0,0.36923076923076925,0.36923076923076925,0.2923076923076923,0.07692307692307693,0.0,0.3,0.07692307692307693,0.07692307692307693,0.0,0.0,0.28076923076923077,0.17692307692307693,0.3269230769230769,0.29615384615384616,0.2923076923076923,0.27692307692307694,0.3269230769230769,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.4576923076923077,0.7461538461538462,0.7461538461538462,0.27692307692307694,0.27692307692307694,0.07692307692307693,0.27692307692307694,0.0,0.27692307692307694,0.16153846153846155,0.17307692307692307,0.16153846153846155,0.9307692307692308,0.17307692307692307,0.3923076923076923,0.16153846153846155,0.17307692307692307,0.17307692307692307,0.4153846153846154,0.2076923076923077,0.17692307692307693,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.4076923076923077,0.15384615384615385,0.3269230769230769,0.9038461538461539,0.0,0.0,0.2923076923076923,0.0,0.4576923076923077,0.17692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0038461538461538464,0.03076923076923077,0.0,0.27692307692307694,0.03076923076923077,0.0038461538461538464,0.3269230769230769,0.3269230769230769,1.0,0.9230769230769231,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.9230769230769231,0.27692307692307694,0.4576923076923077,0.4807692307692308,0.3269230769230769,0.0,0.0,0.27692307692307694,0.15384615384615385,0.4076923076923077,0.0,0.0,0.36923076923076925,0.36923076923076925,0.0,0.007692307692307693,0.36923076923076925,0.3923076923076923,0.43846153846153846,0.36923076923076925,0.27692307692307694,0.27692307692307694,0.27692307692307694,0.17307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.27692307692307694,0.0,0.2076923076923077,0.4076923076923077,0.007692307692307693,0.07692307692307693,0.3153846153846154,0.07692307692307693,0.07692307692307693,0.0,0.3269230769230769,0.0,0.29615384615384616,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.27692307692307694,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.27692307692307694,0.0,0.27692307692307694,0.0,0.15384615384615385,0.007692307692307693,0.03076923076923077,0.0,0.07692307692307693,0.07692307692307693,0.4076923076923077,0.0038461538461538464,0.0,0.36923076923076925,0.36923076923076925,0.36923076923076925,0.3923076923076923,0.0,0.0,0.27307692307692305,0.3269230769230769,0.3269230769230769,0.07692307692307693,0.05384615384615385,0.05384615384615385,0.0,0.0,0.4076923076923077,0.0,0.0,0.2923076923076923
PR,0.0,0.22692307692307692,0.22692307692307692,0.2653846153846154,0.35,0.36153846153846153,0.22692307692307692,0.1576923076923077,0.0,0.0,0.0,0.1576923076923077,0.1576923076923077,0.22692307692307692,0.2230769230769231,0.0,0.2653846153846154,0.07692307692307693,0.2653846153846154,0.2230769230769231,0.0,0.0,0.14615384615384616,0.07692307692307693,0.07692307692307693,0.2230769230769231,0.22692307692307692,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.1576923076923077,0.0,0.0,0.3423076923076923,0.22692307692307692,0.2230769230769231,0.21923076923076923,0.15384615384615385,0.0,0.0,0.0,0.31153846153846154,0.31153846153846154,0.22692307692307692,0.07692307692307693,0.0,0.22692307692307692,0.07692307692307693,0.07692307692307693,0.0,0.0,0.22692307692307692,0.1576923076923077,0.2653846153846154,0.22692307692307692,0.22692307692307692,0.2230769230769231,0.2653846153846154,0.023076923076923078,0.023076923076923078,0.023076923076923078,0.38461538461538464,0.6692307692307692,0.6692307692307692,0.2230769230769231,0.2230769230769231,0.07692307692307693,0.2230769230769231,0.0,0.2230769230769231,0.16153846153846155,0.17307692307692307,0.16153846153846155,0.9923076923076923,0.17307692307692307,0.3269230769230769,0.16153846153846155,0.17307692307692307,0.17307692307692307,0.35,0.20384615384615384,0.1576923076923077,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.3423076923076923,0.15384615384615385,0.2653846153846154,0.8269230769230769,0.0,0.0,0.22692307692307692,0.0,0.38461538461538464,0.1576923076923077,0.07692307692307693,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0038461538461538464,0.007692307692307693,0.0,0.2230769230769231,0.007692307692307693,0.0038461538461538464,0.2653846153846154,0.2653846153846154,0.9230769230769231,1.0,0.023076923076923078,0.023076923076923078,0.023076923076923078,1.0,0.2230769230769231,0.38461538461538464,0.40384615384615385,0.2653846153846154,0.0,0.0,0.2230769230769231,0.15384615384615385,0.3423076923076923,0.0,0.0,0.31153846153846154,0.31153846153846154,0.0,0.007692307692307693,0.31153846153846154,0.3230769230769231,0.36153846153846153,0.31153846153846154,0.2230769230769231,0.2230769230769231,0.2230769230769231,0.17307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.2230769230769231,0.0,0.20384615384615384,0.3423076923076923,0.007692307692307693,0.07692307692307693,0.2423076923076923,0.07692307692307693,0.07692307692307693,0.0,0.2653846153846154,0.0,0.22692307692307692,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.2230769230769231,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.2230769230769231,0.0,0.2230769230769231,0.0,0.15384615384615385,0.023076923076923078,0.007692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.3423076923076923,0.0038461538461538464,0.0,0.31153846153846154,0.31153846153846154,0.31153846153846154,0.3230769230769231,0.0,0.0,0.21923076923076923,0.2653846153846154,0.2653846153846154,0.07692307692307693,0.05384615384615385,0.05384615384615385,0.0,0.0,0.3423076923076923,0.0,0.0,0.22692307692307692
SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.015384615384615385,0.0038461538461538464,0.0,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.023076923076923078,1.0,1.0,1.0,0.023076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.015384615384615385,0.0038461538461538464,0.0,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.023076923076923078,1.0,1.0,1.0,0.023076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.015384615384615385,0.0038461538461538464,0.0,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.023076923076923078,1.0,1.0,1.0,0.023076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
